Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
new,black,didiDigomi,48,2,1,1,4,10,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,542
new,black,didiDigomi,76,3,2,2,2,10,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,539
new,black,didiDigomi,58,2,1,1,9,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,517
new,black,didiDigomi,48,2,1,1,8,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
new,black,didiDigomi,51,2,1,1,10,12,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,490
new,black,didiDigomi,144,4,3,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467
new,black,didiDigomi,68,3,2,1,4,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,432
new,black,didiDigomi,108,4,2,2,12,16,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,426
new,black,didiDigomi,72,3,0,2,5,12,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,414
new,black,saburtalo,129,4,3,3,5,13,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,835
new,black,saburtalo,60,2,0,1,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,833
new,black,saburtalo,105,4,3,1,3,14,3,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,762
new,black,saburtalo,54,2,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,744
new,black,saburtalo,52,2,1,1,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,615
new,newRenov,gldani,45,2,1,2,3,7,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,882
new,newRenov,gldani,56,2,1,1,3,7,6,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,802
new,newRenov,gldani,45,2,1,1,9,13,5,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,778
new,newRenov,gldani,48,3,2,1,11,13,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,771
new,newRenov,gldani,56,3,2,2,4,10,4,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,768
new,newRenov,gldani,80,3,2,1,8,10,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,750
new,newRenov,gldani,48,2,0,1,7,18,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,750
new,newRenov,gldani,46,2,1,1,11,15,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,739
new,newRenov,gldani,155,5,3,3,4,10,9,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,734
new,newRenov,gldani,64,3,2,1,7,10,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,719
new,newRenov,gldani,72,3,2,1,9,11,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,681
new,newRenov,gldani,68,3,2,1,6,9,3,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,674
new,newRenov,gldani,80,2,3,3,8,14,10,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,669
new,newRenov,gldani,117,4,2,1,9,15,9,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,641
new,newRenov,gldani,55,2,1,1,4,9,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,627
new,newRenov,gldani,56,2,1,1,7,9,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,621
new,newRenov,gldani,56,2,1,2,4,9,8,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,616
new,newRenov,gldani,56,2,1,2,4,9,3,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,607
new,newRenov,didiDigomi,46,2,1,1,7,9,4,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1200
new,newRenov,didiDigomi,46,2,1,1,5,9,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1150
new,newRenov,didiDigomi,73,3,2,1,2,9,10,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1092
new,newRenov,didiDigomi,58,3,2,1,7,13,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,914
new,newRenov,didiDigomi,61,3,2,1,8,12,4,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,902
new,newRenov,didiDigomi,70,3,2,1,6,10,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,884
new,newRenov,didiDigomi,43,3,1,1,1,9,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,853
new,newRenov,didiDigomi,21,1,1,1,2,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,833
new,newRenov,didiDigomi,47,2,1,1,7,10,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,830
new,newRenov,didiDigomi,73,3,2,1,4,5,4,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,822
new,newRenov,didiDigomi,61,3,2,1,12,13,5,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,820
new,newRenov,didiDigomi,80,3,2,1,6,10,10,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,813
new,newRenov,didiDigomi,71,3,2,1,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,803
new,newRenov,didiDigomi,61,2,1,1,10,11,0,15,0,1,1,1,1,1,1,0,0,1,0,0,1,1,803
new,newRenov,didiDigomi,21,1,1,1,1,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,800
new,newRenov,didiDigomi,90,4,3,1,6,14,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,800
new,newRenov,didiDigomi,44,2,1,1,12,13,4,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,795
new,newRenov,didiDigomi,43,2,1,1,6,11,6,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,786
new,newRenov,didiDigomi,56,3,2,1,4,4,2,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,786
new,newRenov,didiDigomi,42,2,1,1,13,14,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,786
new,newRenov,didiDigomi,60,2,1,1,8,10,7,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,783
new,newRenov,didiDigomi,68,3,2,1,8,12,6,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,779
new,newRenov,didiDigomi,48,3,0,1,9,10,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,771
new,newRenov,didiDigomi,37,1,1,1,4,9,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,770
new,newRenov,didiDigomi,37,2,1,1,4,7,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,770
new,newRenov,didiDigomi,52,2,1,1,4,12,5,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,769
new,newRenov,didiDigomi,49,2,1,1,9,9,6,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,765
new,newRenov,didiDigomi,46,2,1,1,9,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,761
new,newRenov,didiDigomi,46,3,2,2,8,10,3,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,761
new,newRenov,didiDigomi,62,3,2,1,10,12,3,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,758
new,newRenov,didiDigomi,37,2,1,1,12,14,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,757
new,newRenov,didiDigomi,49,2,1,1,1,4,3,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,755
new,newRenov,didiDigomi,120,3,2,1,2,4,5,5,0,1,1,1,1,1,1,1,0,1,0,1,1,0,750
new,newRenov,didiDigomi,36,2,1,1,1,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,744
new,newRenov,didiDigomi,88,3,2,2,2,8,6,0,12,1,1,1,1,1,1,0,1,1,0,1,0,0,739
new,newRenov,didiDigomi,93,4,3,1,6,8,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,731
new,newRenov,didiDigomi,81,3,2,1,4,4,6,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,728
new,newRenov,didiDigomi,58,3,2,1,8,10,4,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,724
new,newRenov,didiDigomi,65,2,1,1,4,8,8,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,723
new,newRenov,didiDigomi,68,3,2,1,6,16,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,721
new,newRenov,didiDigomi,52,2,1,1,12,14,7,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,721
new,newRenov,didiDigomi,45,2,1,1,5,12,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,718
new,newRenov,didiDigomi,53,3,2,1,3,9,4,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,717
new,newRenov,didiDigomi,73,3,2,1,7,9,6,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,712
new,newRenov,didiDigomi,48,2,1,1,3,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,708
new,newRenov,didiDigomi,37,2,1,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,703
new,newRenov,didiDigomi,52,2,1,1,7,10,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,700
new,newRenov,didiDigomi,78,3,2,1,7,10,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,700
new,newRenov,didiDigomi,78,3,2,1,7,9,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,700
new,newRenov,didiDigomi,48,2,1,2,4,11,6,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,700
new,newRenov,didiDigomi,48,2,1,2,5,11,6,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,700
new,newRenov,didiDigomi,48,2,1,1,5,7,4,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,698
new,newRenov,didiDigomi,36,2,1,1,1,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,694
new,newRenov,didiDigomi,66,3,2,1,5,11,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,694
new,newRenov,didiDigomi,75,3,2,1,6,10,5,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,692
new,newRenov,didiDigomi,65,2,1,1,7,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,692
new,newRenov,didiDigomi,61,3,2,1,2,9,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,689
new,newRenov,didiDigomi,57,3,2,1,4,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,689
new,newRenov,didiDigomi,49,2,1,1,2,10,2,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,682
new,newRenov,didiDigomi,57,3,2,1,7,9,3,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,682
new,newRenov,didiDigomi,57,3,2,1,4,11,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,681
new,newRenov,didiDigomi,64,3,2,1,3,10,3,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,680
new,newRenov,didiDigomi,50,2,1,1,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680
new,newRenov,didiDigomi,63,3,2,1,3,10,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,675
new,newRenov,didiDigomi,54,3,2,1,7,12,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,672
new,newRenov,didiDigomi,50,2,1,1,6,9,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,672
new,newRenov,didiDigomi,51,2,1,1,6,9,5,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,671
new,newRenov,didiDigomi,53,3,2,1,3,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,670
new,newRenov,didiDigomi,80,3,0,1,11,12,10,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,664
new,newRenov,didiDigomi,56,2,1,1,6,12,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,661
new,newRenov,didiDigomi,53,2,1,1,2,10,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,660
new,newRenov,didiDigomi,55,2,1,1,5,10,3,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,655
new,newRenov,didiDigomi,60,3,2,1,3,13,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,655
new,newRenov,didiDigomi,59,3,1,1,6,11,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,653
new,newRenov,didiDigomi,48,2,1,1,2,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,650
new,newRenov,didiDigomi,80,3,2,2,13,14,16,16,0,1,0,0,1,1,1,0,0,1,1,1,0,0,638
new,newRenov,didiDigomi,60,2,1,1,6,10,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,637
new,newRenov,didiDigomi,61,2,1,1,6,10,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,626
new,newRenov,didiDigomi,60,2,1,1,9,9,10,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,625
new,newRenov,didiDigomi,58,2,1,1,1,10,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,621
new,newRenov,didiDigomi,56,3,2,1,4,9,6,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,616
new,newRenov,didiDigomi,41,2,1,1,1,3,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,610
new,newRenov,didiDigomi,100,4,3,1,8,8,15,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,600
new,newRenov,didiDigomi,81,3,2,1,5,9,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,599
new,newRenov,didiDigomi,78,3,2,1,9,10,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,590
new,newRenov,didiDigomi,78,3,2,1,9,11,4,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,590
new,newRenov,didiDigomi,79,3,2,1,6,10,5,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,589
new,newRenov,didiDigomi,78,3,2,1,8,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,577
new,newRenov,didiDigomi,54,1,1,1,1,4,2,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,559
new,newRenov,didiDigomi,72,3,2,3,5,5,6,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,542
new,newRenov,didiDigomi,44,2,1,1,0,5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,520
new,newRenov,digmisMas,95,4,3,2,8,11,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1300
new,newRenov,digmisMas,46,2,1,1,6,9,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1100
new,newRenov,digmisMas,145,4,3,2,15,17,4,4,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1034
new,newRenov,digmisMas,78,3,2,1,13,17,5,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1032
new,newRenov,digmisMas,91,3,2,1,10,11,10,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1000
new,newRenov,digmisMas,100,3,2,1,12,12,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1000
new,newRenov,digmisMas,120,4,120,3,9,15,7,7,0,1,1,1,1,1,1,0,0,1,1,0,1,0,958
new,newRenov,digmisMas,23,2,1,1,0,12,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,909
new,newRenov,digmisMas,142,4,3,2,2,12,15,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,890
new,newRenov,digmisMas,100,3,2,1,10,12,5,0,7,1,1,1,1,1,1,0,0,1,1,1,1,1,867
new,newRenov,digmisMas,73,3,2,1,5,12,4,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,863
new,newRenov,digmisMas,73,3,2,1,5,12,4,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,863
new,newRenov,digmisMas,60,3,2,1,2,10,5,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,817
new,newRenov,digmisMas,130,4,3,3,13,13,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,808
new,newRenov,digmisMas,72,3,2,1,2,10,5,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,722
new,newRenov,digmisMas,72,3,2,1,2,10,5,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,694
new,newRenov,digmisMas,64,2,1,1,6,6,0,20,0,1,0,0,1,1,0,0,1,0,0,0,0,1,597
new,newRenov,digmisMas,78,5,4,1,3,6,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,590
new,newRenov,digmisMas,78,5,4,2,3,6,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,577
new,newRenov,vake,61,2,1,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502
new,newRenov,vake,127,3,2,2,3,10,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1417
new,newRenov,vake,109,3,2,1,11,17,0,27,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1337
new,newRenov,vake,71,2,1,1,6,24,16,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1330
new,newRenov,vake,91,2,1,1,9,10,6,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1319
new,newRenov,vake,102,3,2,3,5,13,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1300
new,newRenov,vake,125,3,2,1,2,6,5,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1300
new,newRenov,vake,100,3,2,1,10,14,6,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1290
new,newRenov,vake,153,3,2,2,2,7,0,40,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1176
new,newRenov,vake,135,4,3,1,12,13,5,12,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1148
new,newRenov,vake,155,5,3,2,7,8,18,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1146
new,newRenov,vake,88,3,2,1,7,15,12,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1136
new,newRenov,vake,70,2,1,1,2,13,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1134
new,newRenov,vake,115,3,2,2,3,11,15,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1130
new,newRenov,vake,98,3,2,1,5,10,8,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1112
new,newRenov,vake,75,3,2,1,7,9,7,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1107
new,newRenov,vake,67,3,2,1,3,8,7,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1075
new,newRenov,vake,127,4,3,2,2,9,8,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1068
new,newRenov,vake,106,4,2,1,6,10,5,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1037
new,newRenov,vake,108,3,2,1,6,11,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1019
new,newRenov,vake,70,2,1,1,6,12,14,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,971
new,newRenov,vake,45,2,1,1,3,10,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,967
new,newRenov,vake,75,2,1,3,3,6,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,955
new,newRenov,vake,90,3,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954
new,newRenov,vake,68,2,1,1,14,15,7,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,950
new,newRenov,vake,100,3,2,2,6,14,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,935
new,newRenov,vake,82,4,3,2,3,8,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,921
new,newRenov,vake,90,4,3,1,4,12,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,900
new,newRenov,vake,150,5,3,2,11,13,3,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,833
new,newRenov,vake,92,3,2,1,1,19,5,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,826
new,newRenov,vake,103,2,1,2,10,11,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,816
new,newRenov,vake,155,3,2,2,3,8,4,40,0,1,0,1,1,1,1,0,1,1,0,0,0,0,742
new,newRenov,varketili,42,2,1,1,2,8,4,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,881
new,newRenov,varketili,84,3,1,1,1,9,7,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,805
new,newRenov,varketili,45,2,1,2,2,8,4,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,798
new,newRenov,varketili,50,2,1,2,3,9,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,794
